8000,5007500
12000,5014200
6000,9686300
11000,10013700
17000,10184600
10,5984500
300,997400
3000,997200
6000,997400
10000,997600
11000,997400
12000,998100
13000,997500
14000,997400
16000,997300
17000,2991300
10,6981400
4000,997900
5000,997200
6000,1031400
7000,998000
9000,1994500
10000,996900
11000,997300
12000,998100
13000,997400
14000,997500
15000,1995100
16000,998000
17000,2992200
20000,998400
10,6981600
500,997200
2000,997000
3000,992300
5000,2010500
8000,997400
9000,997200
10000,1994600
11000,1994300
14000,997500
15000,996700
16000,997400
17000,2991200
18000,997600
20000,997500
